일자,요일,지점명,지점번호,방향,구분,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
20210201,월,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,242,162,112,110,241,626,1535,2444,2611,2276,1888,1802,1665,1708,1792,1837,1864,2004,1756,1365,1192,1140,890,567
20210202,화,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,396,227,165,136,224,562,1433,2439,2603,2208,1910,2042,1682,1761,1839,1909,1974,2196,1812,1486,1275,1234,866,628
20210203,수,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,389,243,192,148,224,554,1393,2426,2518,2194,1973,2011,1864,1866,1909,2063,2021,2166,1822,1301,907,848,605,419
20210204,목,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,259,214,125,108,186,501,1193,2065,2133,1820,1758,1742,1622,1651,1773,1918,1879,1970,1779,1282,1130,1068,868,620
20210205,금,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,382,260,157,153,220,538,1378,2304,2501,2203,2036,2110,2000,1914,2031,2049,2138,2262,2048,1748,1388,1270,972,723
20210206,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,427,284,230,170,207,350,665,964,1245,1624,1894,2069,1914,1894,1932,1777,1687,1630,1448,1015,1003,1060,696,499
20210207,일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,305,196,133,118,135,236,408,602,852,1009,1238,1345,1529,1550,1521,1557,1470,1463,1120,947,870,842,576,418
20210208,월,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,254,163,107,118,227,611,1500,2531,2570,2186,1977,2024,1971,1796,1988,2121,1957,2206,1913,1570,1474,1247,927,669
20210209,화,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,412,240,146,142,235,567,1424,2452,2579,2261,2098,2049,1877,2002,1803,2070,2126,2182,2030,1572,1431,1353,965,690
20210210,수,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,441,260,194,156,247,538,1297,2205,2376,2054,1924,1960,1963,1914,1912,2166,2158,2084,1725,1221,1097,1145,886,565
20210211,목,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,364,222,155,129,160,250,397,509,617,824,1131,1608,1614,1660,1519,1435,1354,1358,1042,823,804,756,510,328
20210212,금,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,221,141,101,82,104,183,307,565,721,676,940,1644,1986,1783,1540,1505,1464,1250,923,715,774,702,539,350
20210213,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,223,126,87,47,89,151,301,428,576,762,1134,1348,1655,1477,1498,1488,1520,1396,1166,849,832,879,603,443
20210214,일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,270,165,126,88,93,173,358,463,704,968,1196,1245,1378,1482,1534,1353,1329,1119,954,781,745,754,548,373
20210215,월,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,255,177,110,117,202,602,1500,2380,2504,2143,1751,1797,1616,1558,1736,1818,1902,1930,1652,1330,1148,1107,910,643
20210216,화,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,410,233,157,147,214,567,1477,2427,2509,2222,1931,1824,1704,1581,1711,1742,1802,2014,1697,1322,1051,1123,851,653
20210217,수,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,410,239,156,139,220,561,1436,2316,2508,2235,1875,1946,1821,1756,1645,2008,1928,2125,1905,1335,1116,1170,879,692
20210218,목,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,391,269,158,155,212,579,1442,2447,2569,2259,1981,1970,1941,1760,1716,1908,2160,2272,1984,1517,1275,1231,1003,703
20210219,금,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,435,261,200,140,233,568,1443,2446,2543,2186,2089,2120,1968,1965,1962,2113,2203,2196,2117,1629,1282,1250,1001,809
20210220,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,474,316,216,155,189,351,654,944,1328,1656,1862,2024,2044,2030,1953,1840,1960,1867,1611,1168,996,936,897,585
20210221,일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,350,240,152,145,126,228,469,649,924,1085,1400,1466,1639,1800,1689,1585,1514,1510,1157,989,883,847,667,434
20210222,월,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,285,176,153,114,237,607,1698,2567,2692,2156,1979,1942,1772,1758,1721,1951,1877,2124,1832,1441,1113,1100,938,666
20210223,화,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,378,269,163,149,234,595,1511,2506,2651,2209,2051,2075,1915,1839,1771,2023,1914,2114,1865,1494,1145,1123,963,737
20210224,수,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,454,270,192,150,238,604,1441,2481,2599,2158,2035,2030,1908,1848,1984,2023,2127,2179,1991,1568,1144,1119,955,681
